instance,family,kind,rows,cols,nnz,int,igaos_obj,highs_obj,rel_diff,igaos_s,highs_s,ratio,iters,nodes,primal_infeas,integer_infeas,agree
blend_s_0,Refinery crude blending,LP,150,230,880,0,-744955.877255,-744955.8772546616,4.542811e-13,0.004592,0.014953,0.307105,137,0,4.235e-11,0.000e+00,True
blend_s_1,Refinery crude blending,LP,150,247,1004,0,-632419.8848,-632419.8847990148,1.557862e-12,0.010913,0.014008,0.779054,2191,0,1.478e-12,0.000e+00,True
blend_s_2,Refinery crude blending,LP,150,257,1060,0,-839591.258082,-839591.2580807619,1.474619e-12,0.005509,0.018130,0.303864,163,0,2.274e-13,0.000e+00,True
blend_m_0,Refinery crude blending,LP,510,1890,8612,0,-2135858.97349,-2135858.9734861455,1.804557e-12,0.251493,0.128046,1.964086,4557,0,1.037e-12,0.000e+00,True
blend_m_1,Refinery crude blending,LP,510,1846,8196,0,-2080967.79259,-2080967.792590686,3.296154e-13,0.024142,0.080658,0.299314,557,0,4.547e-13,0.000e+00,True
blend_m_2,Refinery crude blending,LP,510,1870,8524,0,-2162144.55218,-2162144.5521755265,2.069061e-12,0.026725,0.142515,0.187521,625,0,2.842e-13,0.000e+00,True
blend_l_0,Refinery crude blending,LP,1350,8862,45224,0,-4394576.73381,-4394576.733812292,5.215485e-13,0.252505,3.853624,0.065524,1870,0,2.274e-13,0.000e+00,True
blend_l_1,Refinery crude blending,LP,1350,9036,44962,0,-5183722.51602,-5183722.5160189355,2.053547e-13,0.318763,1.996146,0.159689,2474,0,5.684e-13,0.000e+00,True
blend_l_2,Refinery crude blending,LP,1350,9030,45190,0,-5452618.0294,-5452618.029391802,1.503577e-12,0.241151,1.189393,0.202751,1753,0,7.390e-13,0.000e+00,True
prod_s_0,Production planning,LP,300,468,1500,0,-223999.228621,-223999.2286211787,7.978895e-13,0.018012,0.016221,1.110430,956,0,3.091e-13,0.000e+00,True
prod_s_1,Production planning,LP,300,468,1656,0,-215931.577663,-215931.57766292806,3.331827e-13,0.029603,0.017647,1.677507,2905,0,1.421e-13,0.000e+00,True
prod_s_2,Production planning,LP,300,468,1560,0,-216780.748335,-216780.7483351128,5.202369e-13,0.019693,0.017428,1.129947,921,0,6.395e-14,0.000e+00,True
prod_m_0,Production planning,LP,888,1464,6774,0,-714895.610253,-714895.6102529225,1.084530e-13,0.405037,0.099520,4.069921,5742,0,1.315e-12,0.000e+00,True
prod_m_1,Production planning,LP,888,1464,6774,0,-709525.241472,-709525.2414722537,3.575193e-13,0.363028,0.122537,2.962588,5395,0,5.649e-13,0.000e+00,True
prod_m_2,Production planning,LP,888,1464,6654,0,-726921.435182,-726921.4351821047,1.439734e-13,0.351174,0.152562,2.301852,5381,0,1.748e-12,0.000e+00,True
prod_l_0,Production planning,LP,2196,3600,22650,0,-1805121.35788,-1805121.357875671,2.398188e-12,6.245654,0.872719,7.156544,28862,0,3.204e-11,0.000e+00,True
prod_l_1,Production planning,LP,2196,3600,23118,0,-1772243.4216,-1772243.4216026196,1.478114e-12,5.550403,0.872783,6.359428,27733,0,1.183e-12,0.000e+00,True
prod_l_2,Production planning,LP,2196,3600,22938,0,-1822129.2758,-1822129.2757976665,1.280605e-12,5.103157,0.853398,5.979809,25322,0,2.146e-12,0.000e+00,True
chain_s_0,Supply chain flow,LP,93,627,1254,0,20474.3664017,20474.366401630476,3.395730e-12,0.006054,0.010811,0.559998,234,0,1.137e-13,0.000e+00,True
chain_s_1,Supply chain flow,LP,93,593,1186,0,18625.8640768,18625.864076790283,5.216961e-13,0.005769,0.010516,0.548618,268,0,8.527e-14,0.000e+00,True
chain_s_2,Supply chain flow,LP,93,632,1264,0,19374.8945297,19374.894529656674,2.236125e-12,0.005999,0.011523,0.520598,234,0,1.279e-13,0.000e+00,True
chain_m_0,Supply chain flow,LP,220,3232,6464,0,32502.3791976,32502.37919756375,1.115267e-12,0.036260,0.035438,1.023204,815,0,1.137e-13,0.000e+00,True
chain_m_1,Supply chain flow,LP,220,3185,6370,0,32315.2069631,32315.206963131626,9.786399e-13,0.029581,0.033973,0.870724,839,0,8.527e-14,0.000e+00,True
chain_m_2,Supply chain flow,LP,220,3211,6422,0,32748.9043142,32748.904314198604,4.265742e-14,0.033642,0.033399,1.007260,905,0,8.527e-14,0.000e+00,True
chain_l_0,Supply chain flow,LP,430,11196,22392,0,52312.089597,52312.089597034166,6.531549e-13,0.166073,0.108417,1.531801,1778,0,1.634e-13,0.000e+00,True
chain_l_1,Supply chain flow,LP,430,11314,22628,0,54925.902406,54925.90240597127,5.231185e-13,0.194076,0.097784,1.984742,2059,0,1.421e-13,0.000e+00,True
chain_l_2,Supply chain flow,LP,430,11203,22406,0,54609.4180213,54609.418021285215,2.707362e-13,0.166661,0.107850,1.545295,1794,0,1.563e-13,0.000e+00,True
degen_s_0,Degenerate transport,LP,60,900,1800,0,3000.0,3000.0,0.000000e+00,0.006197,0.008292,0.747297,231,0,0.000e+00,0.000e+00,True
degen_s_1,Degenerate transport,LP,60,900,1800,0,3000.0,3000.0,0.000000e+00,0.006014,0.007796,0.771454,227,0,0.000e+00,0.000e+00,True
degen_s_2,Degenerate transport,LP,60,900,1800,0,3000.0,3000.0,0.000000e+00,0.005916,0.007684,0.769921,227,0,0.000e+00,0.000e+00,True
degen_m_0,Degenerate transport,LP,120,3600,7200,0,6000.0,6000.0,0.000000e+00,0.023905,0.029288,0.816196,564,0,0.000e+00,0.000e+00,True
degen_m_1,Degenerate transport,LP,120,3600,7200,0,6000.0,6000.0,0.000000e+00,0.026289,0.026676,0.985495,644,0,0.000e+00,0.000e+00,True
degen_m_2,Degenerate transport,LP,120,3600,7200,0,6000.0,6000.0,0.000000e+00,0.023895,0.026833,0.890506,588,0,0.000e+00,0.000e+00,True
illcond_s_0,Ill-conditioned blending,LP,140,180,775,0,-680.567741026,-680.5677410265662,8.318943e-13,0.030282,0.012154,2.491584,1328,0,1.455e-11,0.000e+00,True
illcond_s_1,Ill-conditioned blending,LP,140,180,792,0,-967.026730664,-967.0267306632815,7.430000e-13,0.012590,0.011229,1.121263,486,0,7.276e-12,0.000e+00,True
illcond_s_2,Ill-conditioned blending,LP,140,180,749,0,-789.803931971,-789.8039319704119,7.446177e-13,0.013989,0.012367,1.131172,526,0,7.276e-12,0.000e+00,True
illcond_m_0,Ill-conditioned blending,LP,340,420,1911,0,-2095.14899017,-2095.1489901712284,5.862459e-13,0.581523,0.031450,18.490236,12312,0,2.910e-11,0.000e+00,True
illcond_m_1,Ill-conditioned blending,LP,340,420,1874,0,-2095.96091694,-2095.9609169384594,7.350729e-13,0.140252,0.030781,4.556419,2644,0,1.455e-11,0.000e+00,True
illcond_m_2,Ill-conditioned blending,LP,340,420,1839,0,-2207.14670592,-2207.146705915943,1.838030e-12,0.273461,0.032812,8.334196,5666,0,2.910e-11,0.000e+00,True
uc_s_0,Unit commitment,MILP,366,216,894,144,52719.1086568,52719.10865679861,2.636061e-14,0.030009,0.039344,0.762716,825,3,3.553e-15,0.000e+00,True
uc_s_1,Unit commitment,MILP,366,216,894,144,77903.1755716,77903.17557172019,1.542739e-12,0.014868,0.031512,0.471809,694,1,2.842e-14,0.000e+00,True
uc_s_2,Unit commitment,MILP,366,216,894,144,57996.9636194,57996.963619456896,9.810512e-13,0.016495,0.029608,0.557121,690,1,7.105e-15,0.000e+00,True
uc_m_0,Unit commitment,MILP,802,480,2010,320,76267.6420856,76267.64208548848,1.462296e-12,0.044602,0.051144,0.872091,1656,1,5.684e-14,0.000e+00,True
uc_m_1,Unit commitment,MILP,802,480,2010,320,163316.255604,163316.25560402722,1.666220e-13,0.156749,0.074121,2.114762,4035,17,5.684e-14,0.000e+00,True
uc_m_2,Unit commitment,MILP,802,480,2010,320,136138.173738,136138.17373805432,3.989164e-13,0.059923,0.068865,0.870153,1460,1,1.137e-13,0.000e+00,True
uc_l_0,Unit commitment,MILP,1686,1008,4270,672,299930.371241,297973.7732529383,6.566343e-03,120.084782,0.391323,306.868633,1835656,31889,1.137e-13,0.000e+00,False
uc_l_1,Unit commitment,MILP,1686,1008,4270,672,298617.164379,298617.1643790507,1.697788e-13,29.985439,0.196399,152.675777,431087,4671,2.274e-13,0.000e+00,True
uc_l_2,Unit commitment,MILP,1686,1008,4270,672,212996.059877,212996.05987658174,1.963657e-12,0.225993,0.120776,1.871171,4695,1,5.684e-14,0.000e+00,True
