name,rows,cols,integers,igaos_status,igaos_obj,igaos_time,cplex_status,cplex_obj,cplex_time,gurobi_status,gurobi_obj,gurobi_time,verdict
25fv47,821,1571,0,optimal,5501.84588829,1.047802448272705,-,,,optimal,5501.845888286631,0.12997889518737793,agree gurobi
adlittle,56,97,0,optimal,225494.963162,0.003961324691772461,optimal,225494.96316238024,0.002369403839111328,optimal,225494.96316238024,0.0023717880249023438,agree cplex; agree gurobi
afiro,27,32,0,optimal,-464.753142857,0.011284589767456055,optimal,-464.7531428571428,0.003434419631958008,optimal,-464.75314285714285,0.0016744136810302734,agree cplex; agree gurobi
avgas,10,8,0,optimal,-7.75,0.008959054946899414,optimal,-7.75,0.0003018379211425781,optimal,-7.75,0.0002722740173339844,agree cplex; agree gurobi
bell5,91,104,58,feasible,9032233.89068,60.148411989212036,integer optimal solution,8966406.491519999,0.03704690933227539,optimal,8966406.491519999,0.07737398147583008,DIFFERS cplex; DIFFERS gurobi
dcmulti,290,548,75,optimal,188182.0,1.4610531330108643,integer optimal solution,188181.9999999999,0.13319802284240723,optimal,188182.0,0.1722400188446045,agree cplex; agree gurobi
e226,223,282,0,optimal,-11.6389290664,0.02538275718688965,optimal,-11.638929066370554,0.004796743392944336,optimal,-11.638929066370547,0.005594968795776367,agree cplex; agree gurobi
egout,98,141,55,optimal,568.1007,0.03499102592468262,integer optimal solution,568.1007,0.004612922668457031,optimal,568.1006999999995,0.0035355091094970703,agree cplex; agree gurobi
etamacro,400,688,0,optimal,-755.715233308,0.015250205993652344,optimal,-755.7152325338724,0.007462978363037109,optimal,-755.7152328296324,0.00708317756652832,agree cplex; agree gurobi
gesa2,1392,1224,408,optimal,25779856.3717,6.951878547668457,-,,,optimal,25779856.371697918,0.15554523468017578,agree gurobi
gt2,29,188,188,feasible,21166.0,60.16063380241394,integer optimal solution,21166.0,0.012750864028930664,optimal,21166.0,0.005078554153442383,agree cplex; agree gurobi
israel,174,142,0,optimal,-896644.821863,0.016274452209472656,optimal,-896644.8218630456,0.0021326541900634766,optimal,-896644.8218630463,0.002557039260864258,agree cplex; agree gurobi
lseu,28,89,89,optimal,1120.0,0.4268202781677246,integer optimal solution,1120.0,0.06847095489501953,optimal,1120.0,0.0856630802154541,agree cplex; agree gurobi
p0548,176,548,548,optimal,8691.0,0.36300086975097656,integer optimal solution,8690.999999999995,0.03725171089172363,optimal,8691.0,0.023790836334228516,agree cplex; agree gurobi
perold,625,1376,0,optimal,-9380.75527808,0.4823486804962158,-,,,optimal,-9380.755278234952,0.04751110076904297,agree gurobi
rgn,24,180,100,optimal,82.19999924,1.0577099323272705,integer optimal solution,82.19999923999998,0.027925729751586914,optimal,82.19999796205434,0.024663925170898438,agree cplex; agree gurobi
scrs8,490,1169,0,optimal,904.296953801,0.03357720375061035,-,,,optimal,904.296953800792,0.005153179168701172,agree gurobi
shell,536,1775,0,optimal,1208825346.0,0.02177143096923828,-,,,optimal,1208825346.0,0.004759073257446289,agree gurobi
stair,356,467,0,optimal,-251.266951193,0.02509474754333496,optimal,-251.26695119296326,0.006330251693725586,optimal,-251.26695119296312,0.009459495544433594,agree cplex; agree gurobi
standata,359,1075,0,optimal,1257.6995,0.006038188934326172,-,,,optimal,1257.6995,0.0022361278533935547,agree gurobi
standgub,361,1184,0,optimal,1257.6995,0.006033420562744141,-,,,optimal,1257.6995,0.0020377635955810547,agree gurobi
standmps,467,1075,0,optimal,1406.0175,0.03902149200439453,-,,,optimal,1406.0174999999997,0.0029821395874023438,agree gurobi
