name,rows,cols,quad_nnz,igaos_status,igaos_obj,igaos_pinf,osqp_status,osqp_obj,osqp_violation,rel_diff,igaos_time,osqp_time,verdict
AUG2D,10000,20200,19800,optimal,1687411.7529,2.842e-14,optimal,1687411.7528965448,9.781064846947629e-14,2.047635793846145e-12,0.0473,0.09086418151855469,agree
AUG2DC,10000,20200,20200,optimal,1818368.06557,1.066e-14,optimal,1818368.0655699582,1.1468603844377867e-13,2.3047860113348452e-14,0.0468,0.09116363525390625,agree
AUG2DCQP,10000,20200,20200,optimal,6498134.73947,7.105e-14,optimal,6498134.739244495,2.8806809479315533e-11,3.470315189672189e-11,0.6525,1.7198028564453125,agree
AUG2DQP,10000,20200,19800,optimal,6237012.03565,1.599e-14,optimal,6237012.025364707,2.658927227890023e-11,1.6490734763994962e-09,0.6031,1.5071871280670166,agree
AUG3D,1000,3873,2673,optimal,554.067725793,6.217e-15,optimal,554.0677257925277,1.7763568394002505e-15,8.510111267212749e-13,0.0365,0.012793779373168945,agree
AUG3DC,1000,3873,3873,optimal,771.262438689,1.332e-15,optimal,771.2624386889597,1.7763568394002505e-15,5.211329534785442e-14,0.0085,0.008928298950195312,agree
AUG3DCQP,1000,3873,3873,optimal,993.362190639,1.013e-12,optimal,993.3621465251053,1.7763568394002505e-15,4.4364012461675814e-08,0.0405,0.020506858825683594,agree
AUG3DQP,1000,3873,2673,optimal,675.240475669,4.994e-13,optimal,675.2376712749237,1.5543122344752192e-15,4.147053906366323e-06,0.0384,0.018397808074951172,OBJECTIVE MISMATCH
BOYD1,18,93261,93261,time_limit,0.0,3750000000000.0,run time limit reached,,,,71.1795,19.879190683364868,status differs (time_limit / run time limit reached)
BOYD2,186531,93263,2,time_limit,0.0,216000000000.0,run time limit reached,,,,71.9903,19.874340534210205,status differs (time_limit / run time limit reached)
CONT-050,2401,2597,2597,optimal,-4.56385087241,5.704e-12,optimal,-4.563850905270851,3.315808072557047e-09,5.906134346286859e-09,0.079,0.49799013137817383,agree
CONT-100,9801,10197,10197,optimal,-4.64439786708,8.951e-12,optimal,-4.644397870732675,3.9165879428537664e-09,6.471327306963804e-10,0.5482,14.927932024002075,agree
CONT-101,10098,10197,2700,numerical_error,0.0,0.05,optimal,0.19552732029892916,3.217072331692245e-09,,0.9544,19.95266842842102,status differs (numerical_error / optimal)
CONT-200,39601,40397,40397,optimal,-4.68487591798,2.132e-11,run time limit reached,,,,5.8837,19.5441677570343,status differs (optimal / run time limit reached)
CONT-201,40198,40397,10400,optimal,0.192495955644,1.527e-10,run time limit reached,,,,10.1837,19.3705472946167,status differs (optimal / run time limit reached)
CONT-300,90298,90597,23100,optimal,0.378073505142,3.215e-10,run time limit reached,,,,13.7566,18.123947381973267,status differs (optimal / run time limit reached)
CVXQP1_L,5000,10000,69968,time_limit,0.0,6.0,run time limit reached,,,,20.3443,18.029730558395386,status differs (time_limit / run time limit reached)
CVXQP1_M,500,1000,6968,optimal,1087511.56747,3.851e-10,optimal,1087511.5673123044,5.3438040242825835e-09,1.4500567735466824e-10,0.1186,0.1108098030090332,agree
