instance,base_status,base_obj,gapcheck_status,gapcheck_obj
AUG2D,optimal,1687411.7529,optimal,1687411.7529
AUG2DC,optimal,1818368.06557,optimal,1818368.06557
AUG2DCQP,optimal,6498134.73947,optimal,6498134.73947
AUG2DQP,optimal,6237012.03565,optimal,6237012.03565
AUG3D,optimal,554.067725793,optimal,554.067725793
AUG3DC,optimal,771.262438689,optimal,771.262438689
AUG3DCQP,optimal,993.362190639,optimal,993.362190639
AUG3DQP,optimal,675.240475669,numerical_error,1336.5
BOYD1,time_limit,0,time_limit,0
BOYD2,time_limit,0,time_limit,0
CONT-050,optimal,-4.56385087241,optimal,-4.56385087241
CONT-100,optimal,-4.64439786708,optimal,-4.64439786708
CONT-101,numerical_error,0,numerical_error,0
CONT-200,optimal,-4.68487591798,optimal,-4.68487591798
CONT-201,optimal,0.192495955644,numerical_error,0
CONT-300,optimal,0.378073505142,numerical_error,0
CVXQP1_L,time_limit,0,time_limit,0
CVXQP1_M,optimal,1087511.56747,optimal,1087511.56747
CVXQP1_S,optimal,11590.7181195,optimal,11590.7181195
CVXQP2_L,time_limit,0,time_limit,0
CVXQP2_M,optimal,820155.431016,optimal,820155.431016
CVXQP2_S,optimal,8120.94047725,optimal,8120.94047725
CVXQP3_L,time_limit,0,time_limit,0
CVXQP3_M,optimal,1362828.7427,optimal,1362828.7427
CVXQP3_S,optimal,11943.4322023,optimal,11943.4322023
DPKLO1,optimal,1056.13604584,optimal,1056.13604584
DTOC3,optimal,235.260422755,optimal,235.260422755
DUAL1,optimal,0.035012965742,optimal,0.035012965742
DUAL2,optimal,0.0337336761228,optimal,0.0337336761228
DUAL3,optimal,0.135755837064,optimal,0.135755837064
DUAL4,optimal,0.746090843899,optimal,0.746090843899
DUALC1,optimal,6155.25083577,optimal,6155.25083577
DUALC2,optimal,3551.30769447,optimal,3551.30769447
DUALC5,optimal,427.23232678,optimal,427.23232678
DUALC8,optimal,18309.3588329,optimal,18309.3588329
EXDATA,optimal,-141.843432148,optimal,-141.843432148
GENHS28,optimal,0.927173693766,optimal,0.927173693766
GOULDQP2,optimal,0.000184274503366,optimal,0.000184274503366
GOULDQP3,optimal,2.06278397149,optimal,2.06278397149
HS118,optimal,664.820451074,optimal,664.820451074
HS21,optimal,-99.96,optimal,-99.96
HS268,optimal,4.13092493545e-09,optimal,4.13092493545e-09
HS35,optimal,0.111111111321,optimal,0.111111111321
HS35MOD,optimal,0.250000011689,optimal,0.250000011689
HS51,optimal,0,optimal,0
HS52,optimal,5.32664756447,optimal,5.32664756447
HS53,optimal,4.09302325581,optimal,4.09302325581
HS76,optimal,-4.68181818172,optimal,-4.68181818172
HUES-MOD,iteration_limit,0,iteration_limit,0
HUESTIS,iteration_limit,0,iteration_limit,0
KSIP,optimal,0.575797941265,optimal,0.575797941265
LASER,optimal,2409601.3456,optimal,2409601.3456
LISWET1,optimal,36.1224020157,optimal,36.1224020157
LISWET10,optimal,49.4857622189,optimal,49.4857622189
LISWET11,optimal,49.5239509401,optimal,49.5239509401
LISWET12,optimal,1736.92729436,optimal,1736.92729436
LISWET2,optimal,24.9980761012,optimal,24.9980761012
LISWET3,optimal,25.0012200003,optimal,25.0012200003
LISWET4,optimal,25.0001120865,optimal,25.0001120865
LISWET5,optimal,25.0342534017,optimal,25.0342534017
LISWET6,optimal,24.9957475571,optimal,24.9957475571
LISWET7,optimal,498.840893,optimal,498.840893
LISWET8,optimal,714.46967477,optimal,714.46967477
LISWET9,optimal,1963.25118215,optimal,1963.25118215
LOTSCHD,optimal,2398.41589147,optimal,2398.41589147
MOSARQP1,optimal,-952.875443031,optimal,-952.875443031
MOSARQP2,optimal,-1597.48109359,optimal,-1597.48109359
POWELL20,numerical_error,0,numerical_error,0
PRIMAL1,optimal,-0.0350129656932,optimal,-0.0350129656932
PRIMAL2,optimal,-0.033733676084,optimal,-0.033733676084
PRIMAL3,optimal,-0.135755832043,optimal,-0.135755832043
PRIMAL4,optimal,-0.746090707717,optimal,-0.746090707717
PRIMALC1,optimal,-6155.25082281,optimal,-6155.25082281
PRIMALC2,optimal,-3551.3076661,optimal,-3551.3076661
PRIMALC5,optimal,-427.232326722,optimal,-427.232326722
PRIMALC8,optimal,-18309.4297901,optimal,-18309.4297901
Q25FV47,numerical_error,103058.73876,numerical_error,103058.73876
QADLITTL,optimal,480318.858584,optimal,480318.858584
QAFIRO,optimal,-1.5907816876,optimal,-1.5907816876
QBANDM,optimal,16352.3424715,optimal,16352.3424715
QBEACONF,optimal,164712.060173,optimal,164712.060173
QBORE3D,optimal,3100.20080126,optimal,3100.20080126
QBRANDY,numerical_error,662.76,numerical_error,662.76
QCAPRI,numerical_error,162555.605048,numerical_error,162555.605048
QE226,optimal,212.653433328,optimal,212.653433328
QETAMACR,optimal,86760.4119582,numerical_error,-257.4367682
QFFFFF80,numerical_error,0,numerical_error,0
QFORPLAN,optimal,7456631460.08,optimal,7456631460.08
QGFRDXPN,optimal,100790586805,optimal,100790586805
QGROW15,optimal,-101693640.468,optimal,-101693640.468
QGROW22,optimal,-149628953.471,optimal,-149628953.471
QGROW7,optimal,-42798713.8725,optimal,-42798713.8725
QISRAEL,optimal,25347837.7896,optimal,25347837.7896
QPCBLEND,optimal,-0.00784250525413,optimal,-0.00784250525413
QPCBOEI1,numerical_error,41.6385,numerical_error,41.6385
QPCBOEI2,numerical_error,0,numerical_error,0
QPCSTAIR,numerical_error,204468.219287,numerical_error,204468.219287
QPILOTNO,numerical_error,3177765.67704,numerical_error,3177765.67704
QPTEST,optimal,4.37187500005,optimal,4.37187500005
QRECIPE,optimal,-266.6153603,numerical_error,0
QSC205,numerical_error,0,numerical_error,0
QSCAGR25,optimal,201737938.371,optimal,201737938.371
QSCAGR7,optimal,26865948.6009,optimal,26865948.6009
QSCFXM1,numerical_error,0,numerical_error,0
QSCFXM2,optimal,27776161.6121,optimal,27776161.6121
QSCFXM3,optimal,30816354.9075,optimal,30816354.9075
QSCORPIO,numerical_error,0,numerical_error,0
QSCRS8,optimal,904.560057406,optimal,904.560057406
QSCSD1,optimal,8.66666667661,optimal,8.66666667661
QSCSD6,optimal,50.8082139021,optimal,50.8082139021
QSCSD8,optimal,940.763574219,optimal,940.763574219
QSCTAP1,optimal,1415.86111114,optimal,1415.86111114
QSCTAP2,optimal,1735.02649783,optimal,1735.02649783
QSCTAP3,optimal,1438.75468737,optimal,1438.75468737
QSEBA,numerical_error,0,numerical_error,0
QSHARE1B,numerical_error,0,numerical_error,0
QSHARE2B,optimal,11703.6917227,optimal,11703.6917227
QSHELL,numerical_error,49562289580,numerical_error,49562289580
QSHIP04L,numerical_error,173.530333601,numerical_error,173.530333601
QSHIP04S,numerical_error,15249.5020022,numerical_error,15249.5020022
QSHIP08L,numerical_error,1696.51231886,numerical_error,1696.51231886
QSHIP08S,numerical_error,35582.6965831,numerical_error,35582.6965831
QSHIP12L,numerical_error,3713.37359554,numerical_error,3713.37359554
QSHIP12S,numerical_error,24925.4011798,numerical_error,24925.4011798
QSIERRA,optimal,23750458.182,optimal,23750458.182
QSTAIR,optimal,7985452.75629,optimal,7985452.75629
QSTANDAT,optimal,6411.83868426,optimal,6411.83868426
