name,base_status,base_obj,base_time,q_status,q_obj,q_time
AUG2D.QPS,optimal,1687411.7529,0.095,optimal,1687411.7529,0.1
AUG2DC.QPS,optimal,1818368.06557,0.104,optimal,1818368.06557,0.095
AUG2DCQP.QPS,optimal,6498134.73947,0.475,optimal,6498134.73947,0.493
AUG2DQP.QPS,optimal,6237012.03565,0.438,optimal,6237012.03565,0.461
AUG3D.QPS,optimal,554.067725793,0.018,optimal,554.067725793,0.018
AUG3DC.QPS,optimal,771.262438689,0.019,optimal,771.262438689,0.018
AUG3DCQP.QPS,optimal,993.362190639,0.053,optimal,993.362190639,0.053
AUG3DQP.QPS,optimal,675.240475669,0.049,optimal,675.240475669,0.048
BOYD1.QPS,hard-timeout,,45.05219769477844,hard-timeout,,45.024696826934814
BOYD2.QPS,hard-timeout,,45.0340530872345,hard-timeout,,45.05534505844116
CONT-050.QPS,optimal,-4.56385087241,0.101,optimal,-4.56385090441,0.073
CONT-100.QPS,optimal,-4.64439786708,0.573,optimal,-4.64439793448,0.606
CONT-101.QPS,numerical_error,0,1.061,numerical_error,0,1.003
CONT-200.QPS,optimal,-4.68487591798,5.488,optimal,-4.68487934083,5.271
CONT-201.QPS,optimal,0.192495955644,8.966,optimal,0.192484766503,9.125
CONT-300.QPS,optimal,0.378073505142,12.759,optimal,0.194019068138,24.008
CVXQP1_L.QPS,time_limit,0,16.72,time_limit,0,15.577
CVXQP1_M.QPS,optimal,1087511.56747,0.533,optimal,1087511.56732,0.509
CVXQP1_S.QPS,optimal,11590.7181195,0.004,optimal,11590.7181195,0.004
CVXQP2_L.QPS,time_limit,0,16.519,time_limit,0,15.259
CVXQP2_M.QPS,optimal,820155.431016,0.49,optimal,820155.431016,0.484
CVXQP2_S.QPS,optimal,8120.94047725,0.005,optimal,8120.94047725,0.004
CVXQP3_L.QPS,time_limit,0,17.192,time_limit,0,17.151
CVXQP3_M.QPS,optimal,1362828.7427,0.587,optimal,1362828.7416,0.532
CVXQP3_S.QPS,optimal,11943.4322023,0.005,optimal,11943.4322023,0.004
DPKLO1.QPS,optimal,1056.13604584,0.005,optimal,1056.13604584,0.005
DTOC3.QPS,optimal,235.260422755,0.063,optimal,235.262481035,0.056
DUAL1.QPS,optimal,0.035012965742,0.006,optimal,0.035012965742,0.006
DUAL2.QPS,optimal,0.0337336761228,0.007,optimal,0.0337336761228,0.006
DUAL3.QPS,optimal,0.135755837064,0.008,optimal,0.135755837064,0.008
DUAL4.QPS,optimal,0.746090843899,0.005,optimal,0.746090850324,0.004
DUALC1.QPS,optimal,6155.25083577,0.003,optimal,6155.25083453,0.003
DUALC2.QPS,optimal,3551.30769447,0.003,optimal,3551.30769342,0.003
DUALC5.QPS,optimal,427.23232678,0.003,optimal,427.232327035,0.003
DUALC8.QPS,optimal,18309.3588329,0.004,optimal,18309.3588375,0.004
EXDATA.QPS,optimal,-141.843432148,6.392,optimal,-141.84343218,5.887
GENHS28.QPS,optimal,0.927173693766,0.003,optimal,0.927173693766,0.002
GOULDQP2.QPS,optimal,0.000184274503366,0.137,optimal,0.000184274503366,0.136
GOULDQP3.QPS,optimal,2.06278397149,0.137,optimal,2.06278397149,0.137
HS118.QPS,optimal,664.820451074,0.003,optimal,664.820450025,0.002
HS21.QPS,optimal,-99.96,0.002,optimal,-99.9599999868,0.002
HS268.QPS,optimal,4.13092493545e-09,0.002,optimal,7.0776877692e-09,0.002
HS35.QPS,optimal,0.111111111321,0.002,optimal,0.111111111151,0.002
HS35MOD.QPS,optimal,0.250000011689,0.002,optimal,0.250000009317,0.002
HS51.QPS,optimal,0,0.002,optimal,0,0.002
HS52.QPS,optimal,5.32664756447,0.002,optimal,5.32664756447,0.002
HS53.QPS,optimal,4.09302325581,0.002,optimal,4.09302325581,0.002
HS76.QPS,optimal,-4.68181818172,0.002,optimal,-4.68181818172,0.002
HUES-MOD.QPS,iteration_limit,0,0.918,optimal,34824464.7465,0.347
HUESTIS.QPS,iteration_limit,0,0.819,optimal,348244638733,0.356
KSIP.QPS,optimal,0.575797941265,0.081,optimal,0.575797941265,0.08
LASER.QPS,optimal,2409601.3456,0.414,optimal,2409601.34563,0.42
LISWET1.QPS,optimal,36.1224020157,0.209,optimal,36.1224020157,0.178
LISWET10.QPS,optimal,49.4857622189,0.191,optimal,49.4857622189,0.195
LISWET11.QPS,optimal,49.5239509401,0.177,optimal,49.5239509401,0.173
LISWET12.QPS,optimal,1736.92729436,0.2,optimal,1736.92729436,0.204
LISWET2.QPS,optimal,24.9980761012,0.134,optimal,24.9980761012,0.134
LISWET3.QPS,optimal,25.0012200003,0.102,optimal,25.0012200003,0.11
