name,status,obj,gap,nodes,time
miqcard_m_0.mps,optimal,-0.15469997654,,25,0.024
miqcard_m_1.mps,optimal,-0.155419496698,,7,0.010
miqcard_m_10.mps,optimal,-0.145913003869,,23,0.018
miqcard_m_11.mps,optimal,-0.157111022886,,27,0.022
miqcard_m_12.mps,optimal,-0.123386739448,,21,0.018
miqcard_m_13.mps,optimal,-0.12550601215,,33,0.025
miqcard_m_14.mps,optimal,-0.113254273779,,29,0.023
miqcard_m_15.mps,optimal,-0.151805869767,,9,0.010
miqcard_m_16.mps,optimal,-0.143808596128,,27,0.018
miqcard_m_17.mps,optimal,-0.13797912872,,29,0.017
miqcard_m_18.mps,optimal,-0.142989198437,,29,0.017
miqcard_m_19.mps,optimal,-0.159643255397,,25,0.016
miqcard_m_2.mps,optimal,-0.12916291767,,15,0.011
miqcard_m_20.mps,optimal,-0.147507182137,,21,0.013
miqcard_m_21.mps,optimal,-0.134937653841,,23,0.014
miqcard_m_22.mps,optimal,-0.122415376056,,9,0.009
miqcard_m_23.mps,optimal,-0.153570477735,,29,0.016
miqcard_m_24.mps,optimal,-0.141206865701,,29,0.016
miqcard_m_25.mps,optimal,-0.133289215778,,24,0.014
miqcard_m_26.mps,optimal,-0.130225798269,,29,0.016
miqcard_m_27.mps,optimal,-0.137243128574,,31,0.016
miqcard_m_28.mps,optimal,-0.201319729117,,9,0.009
miqcard_m_29.mps,optimal,-0.149120661724,,29,0.016
miqcard_m_3.mps,optimal,-0.172958364992,,25,0.015
miqcard_m_30.mps,optimal,-0.165022428745,,27,0.016
miqcard_m_31.mps,optimal,-0.146631790431,,19,0.012
miqcard_m_32.mps,optimal,-0.14336125392,,33,0.018
miqcard_m_33.mps,optimal,-0.153817859095,,17,0.012
miqcard_m_34.mps,optimal,-0.119997446107,,21,0.013
miqcard_m_35.mps,optimal,-0.159089782682,,29,0.017
miqcard_m_36.mps,optimal,-0.153378216049,,15,0.017
miqcard_m_37.mps,optimal,-0.14610672988,,25,0.015
miqcard_m_38.mps,optimal,-0.138664848526,,29,0.017
miqcard_m_39.mps,optimal,-0.155032897569,,21,0.014
miqcard_m_4.mps,optimal,-0.126942395278,,31,0.017
miqcard_m_5.mps,optimal,-0.133124954788,,55,0.023
miqcard_m_6.mps,optimal,-0.137532174801,,9,0.009
miqcard_m_7.mps,optimal,-0.147096116236,,29,0.017
miqcard_m_8.mps,optimal,-0.121449310803,,27,0.016
miqcard_m_9.mps,optimal,-0.160395527707,,9,0.011
miqcard_s_0.mps,optimal,-0.132317501049,,25,0.007
miqcard_s_1.mps,optimal,-0.112936775496,,15,0.005
miqcard_s_10.mps,optimal,-0.142125434689,,9,0.005
miqcard_s_11.mps,optimal,-0.141355258242,,15,0.005
miqcard_s_12.mps,optimal,-0.13150730535,,19,0.006
miqcard_s_13.mps,optimal,-0.11235309902,,19,0.006
miqcard_s_14.mps,optimal,-0.157546537549,,13,0.005
miqcard_s_15.mps,optimal,-0.111050203053,,13,0.005
miqcard_s_16.mps,optimal,-0.134052005606,,13,0.005
miqcard_s_17.mps,optimal,-0.131100086618,,13,0.005
miqcard_s_18.mps,optimal,-0.119468530654,,15,0.005
miqcard_s_19.mps,optimal,-0.12272049353,,19,0.006
miqcard_s_2.mps,optimal,-0.116471336173,,17,0.006
miqcard_s_20.mps,optimal,-0.121701484874,,13,0.011
miqcard_s_21.mps,optimal,-0.12311537968,,9,0.005
miqcard_s_22.mps,optimal,-0.138823613549,,5,0.004
miqcard_s_23.mps,optimal,-0.125174921932,,19,0.007
miqcard_s_24.mps,optimal,-0.141521355527,,11,0.005
miqcard_s_25.mps,optimal,-0.118705176109,,15,0.006
miqcard_s_26.mps,optimal,-0.114673912914,,9,0.005
miqcard_s_27.mps,optimal,-0.132018271145,,7,0.004
miqcard_s_28.mps,optimal,-0.127612581879,,21,0.006
miqcard_s_29.mps,optimal,-0.120862890412,,17,0.006
miqcard_s_3.mps,optimal,-0.130534139722,,11,0.005
miqcard_s_30.mps,optimal,-0.119964695491,,17,0.006
miqcard_s_31.mps,optimal,-0.128168673068,,17,0.006
miqcard_s_32.mps,optimal,-0.0906616237781,,17,0.006
miqcard_s_33.mps,optimal,-0.120719022882,,15,0.006
miqcard_s_34.mps,optimal,-0.10096655559,,17,0.006
miqcard_s_35.mps,optimal,-0.140958984309,,7,0.004
miqcard_s_36.mps,optimal,-0.134748703479,,13,0.005
miqcard_s_37.mps,optimal,-0.117672597932,,15,0.006
miqcard_s_38.mps,optimal,-0.119710096678,,9,0.006
miqcard_s_39.mps,optimal,-0.102392081725,,11,0.006
miqcard_s_4.mps,optimal,-0.117157788367,,9,0.006
miqcard_s_5.mps,optimal,-0.130171385681,,15,0.007
miqcard_s_6.mps,optimal,-0.12009481213,,19,0.007
miqcard_s_7.mps,optimal,-0.126325934165,,1,0.003
miqcard_s_8.mps,optimal,-0.108509291118,,21,0.007
