name,status,objective,reference,rel_diff,iterations,time,primal_infeas,verdict
25fv47,optimal,5501.84588829,5501.845888,5.270010772880546e-11,13244.0,1.1001,1.723e-12,match
80bau3b,optimal,987224.192409,987224.1924,9.116412531206901e-12,20909.0,2.0115,1.137e-12,match
adlittle,optimal,225494.963162,225494.9632,1.685174216566352e-10,124.0,0.0009,2.274e-13,match
afiro,optimal,-464.753142857,-464.7531429,9.232358527391544e-11,15.0,0.0002,4.263e-14,match
agg,optimal,-35991767.2866,-35991767.29,9.4465987950497e-11,144.0,0.0031,1.164e-10,match
agg2,optimal,-20239252.356,-20239252.36,1.9763578154303478e-10,201.0,0.0048,2.91e-11,match
agg3,optimal,10312115.9351,10312115.94,4.751690807330928e-10,199.0,0.0049,2.91e-11,match
bandm,optimal,-158.62801845,-158.6280185,3.132281117724736e-10,1371.0,0.0288,4.378e-11,match
beaconfd,optimal,33592.4858072,33592.48581,8.334947759053629e-11,83.0,0.0012,8.065e-12,match
blend,optimal,-30.8121498458,-30.81214985,1.3202503971951956e-10,62.0,0.0006,3.553e-15,match
bnl1,optimal,1977.62956152,1977.629562,2.425922277826635e-10,8002.0,0.2667,1.137e-12,match
bnl2,optimal,1811.23654036,1811.23654,1.9864947146169315e-10,10628.0,1.1606,4.334e-13,match
boeing1,optimal,-335.213567507,-335.2135675,2.0820048600847147e-11,1284.0,0.0193,1.364e-12,match
boeing2,optimal,-315.018728015,-315.018728,4.746557899963005e-11,223.0,0.0022,1.137e-13,match
bore3d,optimal,1373.08039421,1373.080394,1.528293587812732e-10,121.0,0.0017,1.819e-12,match
brandy,optimal,1518.50989649,1518.509896,3.2247242939193673e-10,891.0,0.0137,1.027e-12,match
capri,optimal,2690.01291377,2690.012914,8.546961636565427e-11,292.0,0.0036,1.922e-12,match
cre-a,optimal,23595407.061,23595407.06,4.238121349777252e-11,3964.0,0.3964,9.459e-14,match
cre-b,optimal,23129639.7966,23129639.89,4.038108588458889e-09,21511.0,10.9245,3.412e-06,match
cre-c,optimal,25275116.1409,25275116.14,3.5608156781267076e-11,4611.0,0.3868,2.274e-13,match
cre-d,optimal,24454969.6798,24454969.76,3.27949693272929e-09,18899.0,7.7399,3.544e-06,match
cycle,optimal,-5.22639302489,-5.226393025,1.7666730747605e-11,6679.0,0.5673,9.095e-13,match
czprob,optimal,2185196.69886,2185196.699,6.406749136271042e-11,3934.0,0.1871,1.819e-12,match
