instance,base_status,base_obj,gapcheck_status,gapcheck_obj
25fv47.mps,optimal,5501.84588829,optimal,5501.84588829
80bau3b.mps,optimal,987224.192409,optimal,987224.192409
adlittle.mps,optimal,225494.963162,optimal,225494.963162
afiro.mps,optimal,-464.753142857,optimal,-464.753142857
agg.mps,optimal,-35991767.2866,optimal,-35991767.2866
agg2.mps,optimal,-20239252.356,optimal,-20239252.356
agg3.mps,optimal,10312115.9351,optimal,10312115.9351
bandm.mps,optimal,-158.62801845,optimal,-158.62801845
beaconfd.mps,optimal,33592.4858072,optimal,33592.4858072
blend.mps,optimal,-30.8121498458,optimal,-30.8121498458
bnl1.mps,optimal,1977.62956152,optimal,1977.62956152
bnl2.mps,optimal,1811.23654036,optimal,1811.23654036
boeing1.mps,optimal,-335.213567507,optimal,-335.213567507
boeing2.mps,optimal,-315.018728015,optimal,-315.018728015
bore3d.mps,optimal,1373.08039421,optimal,1373.08039421
brandy.mps,optimal,1518.50989649,optimal,1518.50989649
capri.mps,optimal,2690.01291377,optimal,2690.01291377
cre-a.mps,optimal,23595407.061,optimal,23595407.061
cre-b.mps,optimal,23129639.7966,optimal,23129639.7966
cre-c.mps,optimal,25275116.1409,optimal,25275116.1409
cre-d.mps,optimal,24454969.6798,optimal,24454969.6798
cycle.mps,optimal,-5.22639302489,optimal,-5.22639302489
czprob.mps,optimal,2185196.69886,optimal,2185196.69886
d2q06c.mps,optimal,122784.210814,optimal,122784.210814
d6cube.mps,time_limit,318.327226638,time_limit,318.327226247
degen2.mps,optimal,-1435.178,optimal,-1435.178
degen3.mps,optimal,-987.29400177,optimal,-987.29400177
dfl001.mps,time_limit,1978177291.36,time_limit,1963436293.71
e226.mps,optimal,-11.6389290664,optimal,-11.6389290664
etamacro.mps,optimal,-755.715233308,optimal,-755.715233308
fffff800.mps,optimal,555679.564817,optimal,555679.564817
finnis.mps,optimal,172791.065596,optimal,172791.065596
fit1d.mps,optimal,-9146.37809242,optimal,-9146.37809242
fit1p.mps,optimal,9146.37809242,optimal,9146.37809242
fit2d.mps,optimal,-68464.2932938,optimal,-68464.2932938
fit2p.mps,time_limit,69458.4990861,time_limit,69544.4336688
forplan.mps,optimal,-664.218961272,optimal,-664.218961272
ganges.mps,optimal,-109585.736129,optimal,-109585.736129
gfrd-pnc.mps,optimal,6902235.99955,optimal,6902235.99955
greenbea.mps,optimal,-72555248.1298,optimal,-72555248.1298
greenbeb.mps,optimal,-4302260.26121,optimal,-4302260.26121
grow15.mps,optimal,-106870941.294,optimal,-106870941.294
grow22.mps,optimal,-160834336.483,optimal,-160834336.483
grow7.mps,optimal,-47787811.8147,optimal,-47787811.8147
israel.mps,optimal,-896644.821863,optimal,-896644.821863
kb2.mps,optimal,-1749.90012991,optimal,-1749.90012991
ken-07.mps,optimal,-679520443.382,optimal,-679520443.382
ken-11.mps,optimal,-6972382262.52,optimal,-6972382262.52
ken-13.mps,time_limit,-6408494012.05,time_limit,-6401905799.08
ken-18.mps,time_limit,-8655075502.71,time_limit,-8667812651.34
lotfi.mps,optimal,-25.2647060619,optimal,-25.2647060619
maros-r7.mps,optimal,1497185.16648,optimal,1497185.16648
maros.mps,optimal,-58063.7437011,optimal,-58063.7437011
