name,rows,cols,quad_nnz,igaos_status,igaos_obj,igaos_pinf,osqp_status,osqp_obj,osqp_violation,rel_diff,igaos_time,osqp_time,verdict
qblend_m_0,43,120,4800,optimal,-380.232521202,2.409e-11,optimal,-380.2325212021091,9.416170065890128e-10,2.8628030963520954e-13,0.0017,0.0008966922760009766,agree
qblend_m_1,43,120,4800,optimal,-373.269514266,2.596e-11,optimal,-373.2695142659513,1.0331051569778538e-09,1.3015970605903084e-13,0.003,0.0009002685546875,agree
qblend_m_2,43,120,4800,optimal,-382.111619861,2.376e-09,optimal,-382.11161986059795,2.220446049250313e-16,1.0494422010712947e-12,0.0014,0.0008661746978759766,agree
qblend_s_0,26,48,1152,optimal,-186.898084054,1.376e-09,optimal,-186.89808405364033,2.220446049250313e-16,1.9142118167585132e-12,0.0003,0.00022912025451660156,agree
qblend_s_1,26,48,1152,optimal,-168.035841279,1.141e-11,optimal,-168.03584127871642,9.31984711627365e-10,1.6777022822572167e-12,0.0006,0.0002579689025878906,agree
qblend_s_2,26,48,1152,optimal,-174.018844679,2.403e-11,optimal,-174.01884467920792,8.846334775824971e-10,1.1878995365583293e-12,0.0005,0.0003745555877685547,agree
qrisk_m_0,6,150,22500,optimal,-0.116953183867,6.661e-16,optimal,-0.11695318387953113,3.3306690738754696e-16,1.1219027881529463e-11,0.009,0.010033369064331055,agree
qrisk_m_1,6,150,22500,optimal,-0.135652258763,6.661e-16,optimal,-0.135652258763307,4.17012330544792e-21,2.703331231153368e-13,0.0144,0.011996269226074219,agree
qrisk_m_2,6,150,22500,optimal,-0.135188855664,3.664e-15,optimal,-0.1351888572190848,4.440892098500626e-16,1.3698908344925357e-09,0.0139,0.011234521865844727,agree
qrisk_s_0,6,60,3600,optimal,-0.112482279263,3.331e-16,optimal,-0.11248227936093,2.220446049250313e-16,8.802836616946366e-11,0.0011,0.0012440681457519531,agree
qrisk_s_1,6,60,3600,optimal,-0.125559425422,9.803e-14,optimal,-0.12555952115071825,7.508182398938989e-22,8.504989426063071e-08,0.001,0.0013420581817626953,agree
qrisk_s_2,6,60,3600,optimal,-0.118652127704,6.661e-16,optimal,-0.11865212773168222,4.440892098500626e-16,2.4746058958647436e-11,0.001,0.001178741455078125,agree
qsmooth_m_0,80,320,952,optimal,27425.9954578,0.0,optimal,27425.99545777281,2.842170943040401e-14,9.913682906341733e-13,0.0014,0.011211395263671875,agree
qsmooth_m_1,80,320,952,optimal,30207.3350623,0.0,optimal,30207.335062307433,2.842170943040401e-14,2.460377471170917e-13,0.0013,0.007228374481201172,agree
qsmooth_m_2,80,320,952,optimal,28567.7765045,0.0,optimal,28567.77650283602,2.842170943040401e-14,5.824479050995094e-11,0.0013,0.0034799575805664062,agree
qsmooth_s_0,40,120,354,optimal,14008.7308868,0.0,optimal,14008.730886769208,2.842170943040401e-14,2.1978903714920097e-12,0.0006,0.0015027523040771484,agree
qsmooth_s_1,40,120,354,optimal,15539.7054191,0.0,optimal,15539.705419107248,7.305485391522431e-16,4.663143395547997e-13,0.0007,0.0023398399353027344,agree
qsmooth_s_2,40,120,354,optimal,14110.5812963,0.0,optimal,14110.581296248454,2.842170943040401e-14,3.652781402420582e-12,0.0005,0.0014090538024902344,agree
